coleta,umid,temp
13/08/2020 09:28:14,69.0,21.0
13/08/2020 09:28:20,69.0,21.0
13/08/2020 09:28:25,69.0,21.0
13/08/2020 09:28:31,69.0,21.0
13/08/2020 09:28:36,69.0,21.0
13/08/2020 09:28:42,69.0,21.0
13/08/2020 09:28:47,69.0,21.0
13/08/2020 09:28:53,69.0,21.0
13/08/2020 09:28:58,69.0,21.0
13/08/2020 09:29:04,69.0,21.0
13/08/2020 09:29:09,69.0,21.0
13/08/2020 09:29:15,69.0,21.0
13/08/2020 09:29:20,69.0,21.0
13/08/2020 09:29:26,69.0,21.0
13/08/2020 09:29:31,69.0,21.0
13/08/2020 09:29:37,69.0,21.0
13/08/2020 09:29:42,69.0,21.0
13/08/2020 09:29:48,69.0,21.0
13/08/2020 09:29:54,69.0,21.0
13/08/2020 09:29:59,69.0,21.0
13/08/2020 09:30:05,69.0,21.0
13/08/2020 09:30:10,69.0,21.0
13/08/2020 09:30:16,69.0,21.0
