quantidade_pedido;data_pedido
1.0;2015-10-17 02:08:23
1.0;2015-10-17 02:09:56
1.0;2015-10-17 02:10:11
0.0;2015-10-17 02:12:32
0.0;2015-10-17 02:31:40
3.0;2015-10-17 02:33:43
1.0;2017-06-17 20:35:52
1.0;2017-06-17 20:37:54
0.0;2017-06-17 20:42:49
4.0;2017-06-17 20:46:44
1.0;2017-06-17 20:48:29
1.0;2017-06-17 20:53:10
1.0;2017-06-17 20:56:39
3.0;2017-06-17 20:58:35
0.0;2017-06-17 21:01:34
1.0;2017-06-17 21:12:40
3.0;2017-06-17 21:14:11
2.0;2017-06-17 21:18:11
1.0;2017-06-17 21:25:20
0.0;2017-06-17 21:32:24
0.0;2017-06-17 21:32:49
1.0;2017-06-17 21:44:44
1.0;2017-06-17 21:45:15
1.0;2017-06-17 21:45:58
0.0;2017-06-17 22:00:07
1.0;2017-06-17 22:01:51
0.0;2017-06-17 22:02:49
1.0;2017-06-17 22:07:09
1.0;2017-06-17 22:12:21
1.0;2017-06-17 22:17:43
1.0;2017-06-17 22:17:53
0.0;2017-06-17 22:30:14
1.0;2017-06-17 22:33:22
1.0;2017-06-17 23:15:41
1.0;2017-06-17 23:21:24
1.0;2017-06-17 23:31:20
0.0;2017-06-17 23:31:44
1.0;2017-06-17 23:32:53
1.0;2017-06-17 23:37:09
1.0;2017-06-17 23:48:31
1.0;2017-06-17 23:52:31
0.0;2017-06-18 00:01:52
1.0;2017-06-18 00:19:18
0.0;2017-06-18 00:21:32
0.0;2017-06-18 00:21:38
1.0;2017-06-18 00:24:23
0.0;2017-06-18 00:32:11
1.0;2017-06-18 00:40:22
0.0;2017-06-18 00:40:58
2.0;2017-06-18 00:50:02
1.0;2017-06-18 00:51:23
0.0;2017-06-18 00:52:56
1.0;2017-06-18 00:55:10
1.0;2017-06-18 00:57:34
0.0;2017-06-18 01:01:09
2.0;2017-06-18 01:05:25
4.0;2017-06-18 01:06:05
2.0;2017-06-18 01:06:06
1.0;2017-06-18 01:06:55
2.0;2017-06-18 01:07:01
2.0;2017-06-18 01:07:08
2.0;2017-06-18 01:08:37
2.0;2017-06-18 01:10:11
2.0;2017-06-18 01:11:39
3.0;2017-06-18 01:12:50
1.0;2017-06-18 01:17:27
2.0;2017-06-18 01:25:05
2.0;2017-06-18 01:25:42
1.0;2017-06-18 01:26:43
2.0;2017-06-18 01:29:28
0.0;2017-06-18 01:32:31
